full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT
"   67P/Churyumov-Gerasimenko",.6405847372930017,1.245279365549379,7.043698689343029,50.18000114437616,12.69446404906225,5.684194670529901,20090228.5294610,6.44931540263189,JFc,7969,0,6326,,1.066669918189136E-9,-3.689152186829759E-11,2.483436017455598E-10,35.07142445377104
"   68P/Klemola",.639165406955733,1.766900017101724,11.14012569130488,175.359524548697,153.9590295085953,8.02650699631598,20191118.2178314,10.8358732158791,JFc,19784,0,1906,,1.02666266512886E-9,-1.941340229369521E-11,,
"   69P/Taylor",.413665062768043,2.280123984158803,22.04227617403325,104.8536964045363,343.6689082150518,5.4974237598767,20190318.4238112,7.66879692412183,JFc,2686,1,44,,5.825426322859037E-9,3.79427551466757E-9,7.776613850812526E-9,125.2891046646239
"   70P/Kojima",.4525558719625941,2.012733289385614,6.595778229426431,119.2602107657946,2.052717167267228,5.340467471398098,20071005.3575416,7.04981700467901,JFc,16600,0,1232,,1.702167012901716E-10,-7.802738015152185E-11,,
"   71P/Clark",.4943781414695106,1.58621399332349,9.445340590021177,59.44627994746336,208.9167867411067,4.688095420172089,20170630.2040859,5.55663802478134,JFc,705,3,916,,2.109580211754518E-8,8.647826217701629E-9,-4.639220390766512E-9,
"   72P/Denning-Fujikawa",.8191545266363583,.7841612055380167,9.169283869658974,36.10919645775216,337.8580424566273,7.888007259096272,20140711.6372194,9.02931423648274,JFc,13080,1,44,,,,,
"   73P/Schwassmann-Wachmann 3",.6855247615486663,.9721773438956006,11.23693587876469,69.66173403110609,199.3892328579607,5.21067729790825,20170316.8423744,5.43559090602429,JFc,2549,3,984,,5.245232949339103E-9,5.786918675230804E-10,,
"   73P/Schwassmann-Wachmann 3-B",0.6932855208263886126474,0.9391110367239190459542,11.396951947033860719216,69.89247679701043,198.7994525904428,5.184571413835244,20060607.9244273,5.35774699700879,JFc,3806,2,1484,,1.49431967818014E-8,1.961498904699281E-9,,
"   73P/Schwassmann-Wachmann 3-C",.6922258013072282,.9428566311694347,11.37915705677313,69.84321690348189,198.8705914205202,5.184080813061352,20111016.8996863,5.36201936497173,JFc,5853,0,3223,,6.544631766354118E-9,4.832373496932443E-10,,-12.17581160807467
"   73P/Schwassmann-Wachmann 3-E",0.6938774627627,0.937436994548815,11.4056211759106,69.91710448172594,198.7732444491985,5.187149604066312,20010128.4534014,5.35893362989882,JFc,4021,0,129,,1.723191563169948E-8,5.810952472839584E-9,,
"   73P/Schwassmann-Wachmann 3-BT",.6856310518219497,.9719763711356069,11.23831659968891,69.65685932079016,199.3494535707964,5.211690156800893,20170316.8207218,5.4366615827598,JFc,250,6,353,,-1.052713400156597E-7,3.114766667149811E-8,,
"   74P/Smirnova-Chernykh",.1475530279751945,3.551596639755021,6.650938488453135,77.08318599905427,86.62749901086059,4.781113209208281,20090726.7848994,8.50437883991261,ETc,8399,0,5708,,2.172272920394882E-7,-9.834447920911733E-8,,
"   75D/Kohoutek",0.496307395647225,1.78465693964704,5.90720925939778,269.6860945460317,175.8017246617871,5.301637058813597,19940629.8984801,6.66947975418123,JFc,4784,,81,,3.982196062371616E-8,8.704448179457784E-9,,
"   76P/West-Kohoutek-Ikemura",.5381528754379419,1.603256048097465,30.46719089375004,84.10840740889606,.05192976656452167,5.339543691611801,20130508.3579503,6.46792784770088,JFc,9743,0,1068,,4.499682409458798E-10,-1.686711266767998E-10,,
"   77P/Longmore",.3579075021671352,2.311098542747621,24.39924221547497,14.91285511991158,196.7523001954945,4.887548227142516,20090707.9722785,6.82872312508889,JFc,15771,0,1785,,1.732576243323444E-9,-4.848233063201061E-10,1.446975473680593E-9,
"   78P/Gehrels 2",.461667005572465,2.011396742795327,6.25283502029762,210.5626133997185,192.7562104678063,5.461289358989137,20120112.1490158,7.22234646460155,JFc,3311,0,5513,,-8.665268069952063E-10,3.44716889990492E-10,-7.20161017782113E-10,
"   79P/du Toit-Hartley",.6185134899509153,1.123805320881192,3.145618792107812,280.6403368540958,281.689317338125,4.767911902548781,20130823.2858908,5.05622102755015,JFc,3684,3,198,,-4.871755274376041E-11,-3.296388071159945E-11,,
"   80P/Peters-Hartley",.5989902415048468,1.612724740769127,29.92275599280534,259.8892998524929,339.1311051464525,6.43059443840052,20141110.0391888,8.06521897446367,JFc,11703,2,48,,7.370111226638529E-9,-7.828764110205031E-10,-1.023511746192518E-9,
"   81P/Wild 2",.5370707300610902,1.597968662170711,3.237247549683569,136.0976855407395,41.75623208556019,5.305758390480706,20100222.5614610,6.41340443513279,JFc,3257,0,4103,,1.791197908396128E-9,3.027992287262192E-11,-1.03127978372046E-9,-133.6287212117213
"   82P/Gehrels 3",.1238890301135609,3.626164069197896,1.12658939241537,239.6239758071735,227.6579311368321,4.651700707835809,20010831.6461279,8.42055467964466,ETc,16277,0,140,,,2.93561772446461E-11,,
"   83D/Russell 1",0.517209914571475,1.61154162690654,22.659458665718,230.84200613,.3762291200373954,5.064409994909118,19850705.2291439,6.09863974906463,JFc,2302,1,20,,,,,
"   84P/Giclas",.4927386898707408,1.849615141052111,7.281480665734911,112.4715870620582,276.2590100204805,5.442938436829854,20060807.5304647,6.96277965367566,JFc,15289,0,1268,,3.967311120780008E-10,-2.312791067181524E-11,,
"   85P/Boethin",0.7811606261503803994017,1.1346574522589409905748,4.2952945910302675613934,359.3961137217372,37.61838460810365,9.235116800875655,20081212.7465637,11.8063909966417,JFc,4042,8,51,,0,0,,
"   86P/Wild 3",.3687169262916488,2.282560174289136,15.47735410909144,72.4526216141705,178.665283902942,4.948934758342827,20150405.0205525,6.87551664961439,JFc,2597,2,17,,-4.694923087419606E-9,7.333327165475745E-10,,
"   87P/Bus",.389341696339855,2.10117978798726,2.602349277713925,181.8897686982888,24.75611196996587,4.780507647992152,20131219.8852646,6.38271750993022,ETc,7549,1,657,,8.691958282197463E-9,-2.147667871643638E-9,5.767818225116969E-9,
"   88P/Howell",.5630567782442237,1.358562610545129,4.382702396030979,56.69887136968667,235.9142857306592,4.85992319219141,20150406.2303278,5.48264567097524,JFc,4214,1,2985,,8.24290656719786E-9,-7.702505187298055E-10,-6.177592946798307E-10,36.16782543796568
"   89P/Russell 2",.4080083815513693,2.220561913965532,12.07653613877625,41.44521124700714,250.1414428824369,5.28144265760162,20161214.6685190,7.264892552219,JFc,13592,1,188,,7.501812884983252E-9,-3.394047270187426E-10,-4.244969252452372E-10,
"   90P/Gehrels 1",.5097929126747022,2.974897484109951,9.635377864966653,13.25190332544677,29.26997752861308,9.162411669626664,20170619.2755651,14.950194058866,JFc,6092,2,572,,2.38734542294088E-7,3.444369439891368E-7,,
"   91P/Russell 3",.3300667330034073,2.60666220760153,14.09112981309247,247.8983368232365,354.881178691618,5.175194093661346,20050627.0014560,7.67517027477845,JFc,5912,0,248,,-1.087100297314223E-7,1.976424003113985E-9,8.530645011240852E-9,
"   92P/Sanguin",.6593254789566613,1.825455658882622,19.44460631112987,181.4589164241891,163.7890342412169,8.891258072992841,20150301.1835357,12.4038256630773,JFc,13943,0,919,,3.715753605531182E-9,-8.373334464885918E-11,-1.997865932990026E-9,
"   93P/Lovas 1",.6126650383337702,1.700150174908333,12.20450342919124,339.6274201271978,74.89804338193238,7.078557368529837,20170301.4523394,9.1962142413058,JFc,13649,1,3382,,3.904031314268461E-10,-4.966109079668308E-11,,
"   94P/Russell 4",.3630868388899293,2.240242609532059,6.182411856232447,70.91301554821963,92.83630513305694,4.794445151127679,20100329.7174519,6.59675640465795,ETc,12939,0,1475,,-1.494159847041619E-10,2.344737964345696E-11,,
"   96P/Machholz 1",.9592074836894154,.1237142323289413,58.53858182853028,94.35081293062883,14.7463138854509,5.94182148441922,20070405.6560801,5.28161761434005,JFC,3829,0,963,,7.035676975844572E-11,-1.76259481435609E-12,-2.102047080596514E-10,
"   97P/Metcalf-Brewington",.4573932742257172,2.604021608446533,17.86957001570563,185.1974637230118,228.2912964551788,6.994169806267966,20110819.6830982,10.5134999955919,JFc,7693,2,218,,-9.814445114173195E-8,6.400189029910006E-9,-2.042375094472221E-9,218.9029919228531
"   98P/Takamizawa",.5605977808221723,1.673383969949164,10.54421204182212,114.7417165616202,157.8742443878394,5.943254712851567,20130805.3573338,7.43204344767768,JFc,10752,0,682,,4.726219244136132E-9,3.101721043449187E-10,,
"   99P/Kowal 1",.2277886179483038,4.718469753605311,4.343826192324336,28.40127770085497,172.9052629290731,7.502198999214056,20070116.4834610,15.1044761410278,JFc,15722,0,605,,,,,
"  100P/Hartley 1",.4134100168407287,2.010583373203595,25.58952437887889,37.72521355662104,181.8661603902218,4.844574167588164,20160402.0333313,6.34584366412349,JFc,11354,1,383,,1.80922233832075E-9,-7.02135752197587E-11,-7.403193330184955E-10,
"  101P/Chernykh",.6012949143810945,2.299502950759389,5.031464863029928,128.8534499369892,264.4078456299863,9.235353431570905,20060110.9048883,13.8510117013217,JFc,10499,0,866,,8.058964179713218E-8,-2.105451667105523E-8,7.51071709834253E-9,88.22322475775825
"  101P/Chernykh-B",.5947203403123665,2.350527046947969,5.078327540984246,130.2337768015298,263.1851639654208,9.249004243418893,20051224.3893442,13.9676669148349,JFc,109,6,98,,,,,
"  102P/Shoemaker 1",.4729510635048332,1.968559313878646,26.24763360906397,339.8562119379991,18.80153804163205,5.501560356485959,20130901.2806969,7.21862610252505,JFc,2708,3,395,,,1.185139953555036E-8,,
"  103P/Hartley 2",.6948883789281467,1.058679098998275,13.61926973311054,219.7583231740731,181.2099869444809,5.880939230052245,20101028.2653158,6.46348264304736,JFc,5313,1,6097,,7.81473130558195E-10,2.539602225693799E-10,2.955003222379178E-10,75.34788488421449
"  104P/Kowal 2",.6386695859566606,1.179122444061068,10.25426992139334,235.4207637354207,200.6739477005111,5.34743827838971,20160328.1515717,5.89508108782436,JFc,4685,4,133,,2.200273266754491E-8,-1.05737556441448E-10,4.296959281020488E-9,61.95449595727518
"  105P/Singer Brewster",.4092921638289355,2.05082519470213,9.170617424610311,192.4200557547587,46.6837131983796,4.892794202648227,20120226.1979266,6.46907327385813,JFc,12199,0,757,,,-6.832566625367815E-10,,
"  106P/Schuster",.5886970626590886,1.545698058285095,20.14848227471757,50.49922676211688,355.958463758387,5.970407069862492,20140720.2018431,7.28538450496625,JFc,13712,0,297,,7.531985617773915E-10,8.503949911323412E-11,,
"  108P/Ciffreo",.5433862742962028,1.708894250511029,13.09615620875901,53.65521402800832,358.1076586706113,5.776181884145419,20141018.4654730,7.24031634675239,JFc,10718,0,1447,,1.265305592606873E-9,-2.624626071368604E-10,,
"  109P/Swift-Tuttle",0.963225755046038,0.959516155068868,113.453816997171,139.3811920815948,152.9821676305871,51.22462284058444,19921211.9997846,133.281843840173,HTC,94131,0,652,,,,,
"  110P/Hartley 3",.3146448143164488,2.475380474799974,11.69311512825019,287.7145713379281,167.7482688589667,4.748262175050583,20141217.7866698,6.86432107185401,JFc,2178,3,1322,,-4.951810138584976E-8,-2.909915125582859E-8,,
"  111P/Helin-Roman-Crockett",.1096207704078609,3.704303387230362,4.228807042165645,89.79399820609125,3.37794152502789,4.616428418086374,20130130.6292399,8.48604821158179,ETc,8753,1,137,,,-1.134125358309937E-7,,
"  112P/Urata-Niijima",.587407344869055,1.459185607969411,24.20010522204686,31.92988236979212,21.35107724365804,5.614064920478835,20130624.5670868,6.65107384645484,JFc,12251,0,609,,,6.356228674755308E-11,,
